Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Red,TRUE,Bantamweight,5,0,4,0,4,1,0,0,1,0,2,1,0,4,Orthodox,167.64,170.18,135,0,4,0,4,2,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135,31,32
Red,TRUE,Women's Flyweight,5,0,3,0,3,6,0,0,2,1,0,0,1,4,Orthodox,167.64,167.64,125,0,2,0,2,2,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125,32,31
Red,FALSE,Lightweight,3,0,3,0,8,8,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,0,11,0,11,1,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155,36,35
Blue,FALSE,Bantamweight,3,0,4,0,4,0,0,0,0,2,2,0,0,4,Switch,170.18,170.18,135,1,0,0,5,2,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135,26,29
Blue,FALSE,Heavyweight,3,0,1,0,1,1,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,250,1,0,0,3,1,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,32,26
Red,FALSE,Women's Strawweight,3,0,4,0,4,2,0,0,0,3,0,1,0,4,Orthodox,165.1,162.56,115,0,4,0,4,0,1,0,0,1,1,2,0,4,Orthodox,165.1,167.64,115,33,28
Red,FALSE,Bantamweight,3,0,3,0,4,4,0,0,0,2,3,3,0,8,Orthodox,167.64,165.1,135,0,3,0,4,3,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135,32,29
Blue,FALSE,Women's Strawweight,3,1,0,0,1,2,0,0,1,1,0,0,0,2,Orthodox,165.1,167.64,115,2,0,0,3,4,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,25,33
Blue,FALSE,Featherweight,3,0,1,0,2,1,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,145,0,1,0,4,5,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145,31,37
Red,FALSE,Women's Strawweight,3,0,1,0,1,6,0,0,0,4,0,0,0,4,Orthodox,160.02,162.56,115,0,3,0,3,0,0,0,0,3,0,0,0,3,Orthodox,165.1,160.02,115,34,29
Blue,FALSE,Middleweight,3,1,0,0,2,5,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,185,28,28
Red,FALSE,Women's Flyweight,3,0,2,0,2,3,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,1,0,0,3,2,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,33,30
Blue,FALSE,Light Heavyweight,5,1,0,0,3,4,1,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,1,0,0,6,5,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,30,32
Blue,FALSE,Light Heavyweight,3,0,3,0,3,0,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,205,3,0,0,3,5,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,27,39
Red,FALSE,Featherweight,3,0,1,0,1,1,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,0,1,0,3,1,0,0,1,1,1,1,0,4,Southpaw,177.8,182.88,145,26,30
Blue,FALSE,Lightweight,3,0,1,0,1,3,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155,0,2,0,2,2,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155,29,32
Blue,FALSE,Women's Bantamweight,3,1,0,0,1,3,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135,2,0,0,0,2,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,37,37
Blue,FALSE,Lightweight,3,0,4,0,4,1,1,0,1,1,1,2,0,5,Orthodox,182.88,190.5,155,0,1,0,3,3,0,1,1,2,2,0,0,6,Southpaw,177.8,177.8,155,39,29
Blue,FALSE,Lightweight,3,2,0,0,1,2,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,2,0,0,3,3,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,30,35
